,id_question,question_description,subquestion_description,abbreviated_question
248,303,Where or when was this?,In cafe / restaurant or other place of entertainment (recalculated without N/A),Unfairly/unequally treated in bar/restaurant or other place of entertainment (recalculated without N/A)
249,304,Do you have for your home:,Do you have: agreements about escaping the house in the event of a fire,Agreements about escaping the house in the event of a fire
250,305,What were the main reasons you moved at the time?,Insufficient facilities in the area,Moved due to insufficient facilities in the area
251,306,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At home together,Meet the people from my neighborhood at each other's homes
252,307,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
253,308,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Illegal activity,Illegal activity occurs in the area
254,311,Are you someone who,quickly gets upset if something goes wrong or is unclear,Gets upset quickly
255,312,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with neighborhood watch (watch what happens and report irregularities to the relevant authorities).,Help with neighborhood prevention
256,315,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"welfare services, such as community work, youth work, etc.",Satisfied with the range of welfare facilities in the area
257,317,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the supermarket or shops,Meet the people from my neighborhood in the supermarket or shops
258,319,To what extent do you agree or disagree with the statements below?,The use of supervisors increases safety in my neighbourhood.,The use of supervisors increases safety in my neighbourhood.
259,320,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Street furniture, such as garbage cans, benches and bus shelters, that has been destroyed",Destroyed street furniture is (sometimes) common in my neighborhood
260,321,Can you manage well when it comes to:,your psychological/mental health,Copes well with mental/mental health
261,323,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
