VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
171,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minder dan 12 uur in de week  (1-11 uur).,Werk als zelfstandige (1-11uur per week)
172,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Cursussen of lessen geven of volgen (voor ontspanning).,Vaak cursussen of lessen geven/volgen
173,Wilt u zich opgeven voor,Digipanel,Opgegeven voor digipanel
174,In welke prijsklasse (koopwoning) valt uw huidige woning?   (u kunt uitgaan van de WOZ-waarde),,prijsklasse (koopwoning) huidige woning?  
175,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minder dan 12 uur in de week  (1-11 uur).,Werk als zelfstandige (1-11uur per week)
176,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Hacken,Hacken voorgekomen in huishouden
177,Vermeld hieronder uw e-mailadres. We gebruiken uw e-mailadres alleen voor wat u zelf heeft aangegeven.,,
178,Krijgt u ergens hulp bij?,De opvoeding van uw kinderen,Krijg hulp bij opvoeding van kinderen
179,Kunt u zich goed redden als het gaat om:,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d.",Kan zich goed redden met algemene dagelijkse activiteiten
180,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Straatmeubilair, zoals vuilnisbakken, bankjes en bushokjes, dat vernield is",Vernielde straatmeubilair komt (soms) vaak voor in mijn buurt
181,Waarom heeft u geen melding gedaan bij de gemeente?,Op advies van de politie,Geen melding gedaan op advies van de politie
182,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een buurtbewoner,Geef mantelzorg aan buurtbewoner
183,Waarom heeft u geen melding gedaan bij de gemeente?,Het was niet zo belangrijk,Niet belangrijk om melding te doen bij de gemeente
184,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Verkoopfraude,Verkoopfraude voorgekomen in huishouden
185,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gunstige periode om woning te verkopen,Verhuisd vanwege gunstige periode om woning te verkopen
186,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Identiteitsfraude,Identiteitsfraude voorgekomen in huishouden
187,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden.","Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden"
188,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Mishandeling (buitenshuis),Slachtoffer geweest van mishandeling (buitenshuis)
189, Naar welk soort woonomgeving wilt u ?,Open antwoord bij gesloten vraag,
190,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk (herberekend zonder nvt)
191,Waar of wanneer was dit? ,Op straat in mijn buurt,Oneerlijk/ongelijk behandeld op straat in mijn buurt
192,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?,,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?
193,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. ",,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. "
194,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Straat)Prostitutie,(Straat)prostitutie komen voor in de buurt
195,Wilt u zich opgeven voor,Geen van alle,
196,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uzelf,Zelf te maken gehad met cyberpesten
238,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,"ik heb nu geen betaald werk, aar ben wl op zoek naar werk",Op zoek naar werk
239,Woont u in een koopwoning of in een huurwoning?,,Woont in een koopwoning of huurwoning
197,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid.,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid
198,Heeft u het afgelopen jaar iets ondernomen om aan een andere woning te komen? (zelfs advertenties lezen en nagaan wat u zou willen bij verhuizen telt al mee),,Iets ondernomen om aan andere woning te komen
199,Kunt u zich goed redden als het gaat om: ,"het lopen, zitten en gaan staan (herberekend zonder nvt)","Kan zich goed redden met het lopen, zitten en gaan staan (herberekend zonder nvt)"
200,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Fietsendiefstal,Slachtoffer geweest van fietsendiefstal
201,Heeft u voor uw woning:,Heeft u: een werkende rookmelder,Werkende rookmelder voor mijn woning
202,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is slecht onderhouden.,Woning is slecht onderhouden
203,Krijgt u ergens hulp bij?,De opvoeding van uw kinderen,Krijg hulp bij opvoeding van kinderen
204,Heeft u voor uw woning:,Camerabewaking,Camerabewaking  voor mijn woning
205,In hoeverre kunt u zich vinden in de volgende uitspraken?,"In het afgelopen jaar heb ik familie, vrienden of buren vaker geholpen","Familie, vrienden of buren vaker geholpen"
206,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
207,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Identiteitsfraude,Identiteitsfraude voorgekomen in huishouden
208,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
209,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Sportvereniging,Actief bij sportvereniging
210,Waarom heeft u geen melding gedaan bij de gemeente?,Door schuld- of schaamtegevoel,Geen melding gedaan door schuld- of schaamtegevoel
211,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Woonomgeving / woonbuurt,Verhuisd vanwege omgeving/woonbuurt
212,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
213,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal van portemonnee, tas, telefoon, tablet of laptop",Slachtoffer geweest van diefstal portemonnee/tas/telefoon/tablet/laptop
214,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,"Online (Facebook, Instagram, Snapchat, etc.)",Ontmoet de mensen uit mijn buurt online
215,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een huurwoning in plaats van een koopwoning,Verhuisd om te huren in plaats van te kopen
216,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een koopwoning in plaats van huren,Verhuisd om een huis te kopen in plaats van te huren
217,Waarom heeft u geen melding gedaan bij de gemeente?,Geen zin of tijd voor gehad,Geen zin/tijd gehad voor melding bij de gemeente
218,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Identiteitsfraude,Identiteitsfraude voorgekomen in huishouden
219,Krijgt u ergens hulp bij?,Uw lichamelijke gezondheid,Krijg hulp bij lichamelijke gezondheid
220,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer contact gehad met mensen in mijn buurt,Meer contact gehad met mensen in mijn buurt
221,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bekladde muren of gebouwen/graffiti,Bekladde muren/gebouwen en graffitti komt (soms) vaak voor in mijn buurt
222,Hoe prettig vindt u uw buurt om in te wonen?,,Prettig om in mijn buurt te wonen
223,Waarom heeft u geen melding gedaan bij de gemeente?,Dit is geen zaak voor de gemeente,Geen zaak  voor de gemeente
224,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Culturele uitstapjes (theater, museum, filmfestival e.d.).",Vaak culturele uitstapjes gedaan
225, Naar welk soort woonomgeving wilt u ?, Naar welk soort woonomgeving wilt u ?,Verhuizen naar welk soort woonomgeving
226,Krijgt u ergens hulp bij?,"Uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d.",Krijg hulp bij dagelijkse activiteiten
227,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Wilt u lid worden van dit DigiPanel Breda?,Ben lid van DigiPanel Breda
228,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is slecht onderhouden.,Woning is slecht onderhouden
229,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minder dan 12 uur in de week  (1-11 uur).,Werk als zelfstandige (1-11uur per week)
230,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden.","Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden"
231,Waarom heeft u geen melding gedaan bij de gemeente?,Het lukte niet om een melding te doen,Lukt niet om een melding te doen
232,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezondheid / behoefte aan extra zorg,Verhuisd vanwege gezondheid / behoefte aan zorg
233,Kunt u zich goed redden als het gaat om: ,"het lopen, zitten en gaan staan (herberekend zonder nvt)","Kan zich goed redden met het lopen, zitten en gaan staan (herberekend zonder nvt)"
234,Kunt u zich goed redden als het gaat om:,uw lichamelijke gezondheid,Kan zich goed redden met lichamelijke gezondheid
235,Wilt u zich opgeven voor,Geen van alle,
236,Komt het wel eens voor dat u à,zich onveilig voelt als u Æs avonds bij u in de buurt  over straat loopt?,Onveilig om 's avonds in de buurt op straat te lopen
604,In wat voor type woning woont u?,Open antwoord bij gesloten vraag,Ander soort type woning
240,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
241,Wat moeten we zeker behouden in deze buurt?,Open antwoord bij gesloten vraag,
242,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente ondersteunt buurtinitiatieven op het gebied van leefbaarheid en veiligheid voldoende. (herberekend zonder nvt),De gemeente ondersteunt buurtinitiatieven op het gebied van leefbaarheid en veiligheid voldoende (herberekend zonder nvt)
243,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De sfeer,De sfeer is veranderd in mijn buurt
244,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Om financiële redenen,Verhuisd om financiële redenen
245,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
246, U heeft aangegeven dat u wilt verhuizen binnen Breda. Heeft u daarbij nog een voorkeur voor een buurt?,,Voorkeur van buurt om te verhuizen
247,Krijgt u ergens hulp bij?,De opvoeding van uw kinderen,Krijg hulp bij opvoeding van kinderen
248,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Zelfstandig gaan wonen,Verhuisd om zelfstandig te wonen
249,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,In het buurthuis/gemeenschapshuis,Ontmoet de mensen uit mijn buurt in het buurthuis/gemeenschapshuis
250,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Huiselijk geweld,Slachtoffer geweest van huiselijk geweld
251,In hoeverre bent u het eens of oneens met onderstaande uitspraken?,De toezichthouders dragen bij aan het verminderen van overlast in mijn buurt.,De toezichthouders dragen bij aan het verminderen van overlast in mijn buurt.
252,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minimaal 12 uur in de week.,Werk als zelfstandige (minimaal 12uur per week)
253,Komt het wel eens voor dat u à,uw kind(eren) niet toestaat ergens naartoe te gaan  bij u in de buurt omdat u het niet veilig vindt?,Onveilig in buurt voor kinderen
254,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een vriend of vriendin die niet in uw buurt woont,Geef mantelzorg aan vriend(in) die niet in mijn buurt woont
255,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Sportvereniging,Actief bij sportvereniging
256,Wat is uw leeftijd?,,Wat is uw leeftijd?
257,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Drugsdealpanden,Drugsdealpanden komen voor in de buurt
258,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezinsuitbreiding,Verhuisd om gezinsuitbreiding
259,In wat voor type woning woont u?,Open antwoord bij gesloten vraag,Ander soort type woning
260,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling aan auto's en diefstal vanaf,Slachtoffer geweest  van beschadiging/vernieling aan auto's
261,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?
262,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Woonomgeving / woonbuurt,Verhuisd vanwege omgeving/woonbuurt
263,Komt het wel eens voor dat u à,bang bent dat u zelf slachtoffer wordt van criminaliteit?,Bang slachtoffer te worden van criminaliteit
264,Bent u iemand dieàà,de draad gemakkelijk oppakt als het even tegen heeft gezeten,Kan de draad makkelijk oppakken
265,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur,Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur
266,Krijgt u ergens hulp bij?,Boodschappen doen,Krijg hulp bij boodschappen doen
267,Bent u iemand dieàà,snel van slag raakt als er iets tegenzit of onduidelijk is,Raakt snel van slag
268,Wat is de hoogste opleiding die u met een diploma heeft afgerond?,,Wat is de hoogste opleiding die u met een diploma heeft afgerond?
269,Heeft u voor uw woning:,Heeft u: een inbraak-alarminstallatie,Inbraak-alarminstallatie voor mijn woning
